Account,Security,Order ID,Trade Date,Trade Time,Side,Liquidity,Route,Quantity,Price,Lime Fee,ECN Fee,ACT Fee,SEC Fee,NASD Fee,Rounded Order Commission
MRTTRADING1,GDX,'2783467014823',9/18/2014,15:58:37,1,Removed,EDGAA,100,23.15,0.08,-0.02,0,0,0,0.06
MRTTRADING1,GDX,'3049754987175',9/18/2014,15:58:37,1,Removed,EDGAA,100,23.15,0.08,-0.02,0,0,0,0.06
MRTTRADING1,GDX,'3316042959527',9/18/2014,15:58:37,1,Removed,EDGAA,100,23.15,0.08,-0.02,0,0,0,0.06
MRTTRADING1,GDX,'3582330931879',9/18/2014,15:58:37,1,Removed,EDGAA,100,23.15,0.08,-0.02,0,0,0,0.06
MRTTRADING1,GDX,'3848618904231',9/18/2014,15:58:37,1,Removed,EDGAA,100,23.15,0.08,-0.02,0,0,0,0.06
MRTTRADING1,GDX,'4114906876583',9/18/2014,15:58:37,1,Removed,EDGAA,100,23.15,0.08,-0.02,0,0,0,0.06
MRTTRADING1,GDX,'4381194848935',9/18/2014,15:58:38,1,Removed,EDGAA,100,23.15,0.08,-0.02,0,0,0,0.06
MRTTRADING1,IWM,'5025439943335',9/18/2014,15:58:38,1,Removed,BATSY,100,115.35,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,SPY,'22626215922343',9/18/2014,15:58:47,1,Removed,BSX,100,201.74,0.08,-0.04,0,0,0,0.04
MRTTRADING1,XLI,'29094436670119',9/18/2014,15:58:50,3,Removed,EDGAA,100,54.77,0.08,-0.02,0,0.12,0.02,0.2
MRTTRADING1,XLI,'29360724642471',9/18/2014,15:58:50,3,Removed,EDGAA,100,54.77,0.08,-0.02,0,0.12,0.02,0.2
MRTTRADING1,XLI,'29627012614823',9/18/2014,15:58:50,3,Removed,EDGAA,100,54.77,0.08,-0.02,0,0.12,0.02,0.2
MRTTRADING1,XLI,'29893300587175',9/18/2014,15:58:50,3,Removed,EDGAA,100,54.77,0.08,-0.02,0,0.12,0.02,0.2
MRTTRADING1,XLI,'30159588559527',9/18/2014,15:58:50,3,Removed,EDGAA,100,54.77,0.08,-0.02,0,0.12,0.02,0.2
MRTTRADING1,XLI,'30425876531879',9/18/2014,15:58:50,3,Removed,EDGAA,100,54.77,0.08,-0.02,0,0.12,0.02,0.2
MRTTRADING1,RSX,'31843215739559',9/18/2014,15:58:51,3,Removed,BATSY,100,23.71,0.08,-0.16,0,0.05,0.02,-0.01
MRTTRADING1,TLT,'33861850368679',9/18/2014,15:58:52,1,Removed,BATSY,100,113.15,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,SPY,'33913389976231',9/18/2014,15:58:52,1,Removed,BATSY,100,201.75,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,SPY,'33921979910823',9/18/2014,15:58:52,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,SPY,'33939159780007',9/18/2014,15:58:52,1,Removed,BSX,100,201.75,0.08,-0.04,0,0,0,0.04
MRTTRADING1,XLI,'33990699387559',9/18/2014,15:58:52,3,Removed,BSX,100,54.77,0.08,-0.04,0,0.12,0.02,0.18
MRTTRADING1,GDX,'33999289322151',9/18/2014,15:58:52,1,Removed,BATSY,100,23.16,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,GDX,'34016469191335',9/18/2014,15:58:52,1,Removed,EDGAA,100,23.16,0.08,-0.02,0,0,0,0.06
MRTTRADING1,GDX,'34033649060519',9/18/2014,15:58:52,1,Removed,BSX,100,23.16,0.08,-0.04,0,0,0,0.04
MRTTRADING1,LQD,'34093778602663',9/18/2014,15:58:52,1,Removed,BATSY,100,117.53,0.08,-0.16,0,0,0,-0.08
